First Name,Surname,Team,Position,Fitness,Passing accuracy,Shot accuracy,Shot frequency,Defensiveness,Agression,Position,Dribbling,Chance Creation,Offside adherence
Muhamad, Martinelli, Croatia, Forward,0.25,0.67,0.58,0.56,0.52,0.65,0.45,0.86,0.59,0.42
Vita, Martínez, Ecuador, Defender,0.22,0.89,0.49,0.2,0.95,0.97,0.68,0.38,0.32,0.62
Lucía, Martínez, Uruguay, Defender,0.76,0.56,0.19,0.29,0.78,0.8,0.43,0.55,0.67,0.63
Joaquín, Martínez, Ghana, Defender,0.5,0.66,0.53,0.15,0.89,0.98,0.39,0.73,0.43,0.75
Hana, Martini, South Korea, Defender,0.16,0.84,0.34,0.34,0.82,0.41,0.78,0.47,0.27,0.63
Annika, Martino, Saudi Arabia, Defender,0.9,0.51,0.12,0.45,0.9,0.99,0.75,0.5,0.62,0.89
Lubanzi, Martino, Netherlands, Forward,0.56,0.49,0.83,0.7,0.61,0.58,0.76,0.65,0.37,0.42
Lilja, Martino, Croatia, Midfielder,0.1,0.67,0.56,0.41,0.44,0.55,0.92,0.42,0.53,0.59
Giorgia, Martino, Switzerland, Defender,0.71,0.76,0.21,0.27,0.56,0.95,0.42,0.67,0.38,0.68
Oliwia, Mayr, France, Midfielder,0.89,0.87,0.35,0.82,0.3,0.2,0.58,0.41,0.62,0.89
Naranbaatar, McCarthy, Denmark, Midfielder,0.06,0.84,0.69,0.46,0.7,0.31,0.72,0.55,0.97,0.67
Pol, Mean, Serbia, Midfielder,0.28,0.72,0.55,0.45,0.57,0.73,0.7,0.48,0.85,0.74
Francesco, Mean, Argentina, Forward,0.51,0.61,0.73,0.89,0.23,0.35,0.52,0.52,0.39,0.79
Asija, Meas, Brazil, Defender,0.18,0.65,0.53,0.57,0.93,0.96,0.43,0.31,0.11,0.73
Helena, Meas, Denmark, Midfielder,0.69,0.72,0.78,0.34,0.76,0.37,0.63,0.44,0.74,0.5
Juliana, Medina, Iran, Midfielder,0.82,0.5,0.42,0.81,0.49,0.37,0.45,0.45,0.93,0.71
Nahia, Mehmedović, USA, Midfielder,0.18,0.51,0.3,0.53,0.33,0.79,0.9,0.96,0.8,0.84
Ibrahim, Mehmedović, Spain, Defender,0.15,0.5,0.51,0.26,0.87,0.37,0.34,0.22,0.24,0.63
Viktória, Mejía, Germany, Midfielder,0.46,0.58,0.55,0.65,0.55,0.74,0.88,0.45,0.82,0.42
Hosniya, Mendes, Netherlands, Forward,0.11,0.56,0.66,0.8,0.39,0.41,0.95,0.65,0.7,0.51
Enzo, Mendes, South Korea, Goal Keeper,0.51,0.87,0.52,0.23,0.72,0.97,0.91,0.33,0.05,0.8
Mia, Mendis, Senegal, Forward,0.56,0.54,0.59,0.82,0.53,0.71,0.8,0.83,0.9,0.6
Nurul, Mendoza, Canada, Forward,0.21,0.41,0.85,0.51,0.37,0.38,0.53,0.84,0.61,0.51
Vugar, Messina, Poland, Midfielder,0.57,0.66,0.6,0.52,0.47,0.73,0.77,0.46,0.4,0.62
Onni, Messina, Belgium, Midfielder,0.43,0.84,0.66,0.45,0.32,0.76,0.56,0.84,0.92,0.53
Ji-woo, Miller, Germany, Defender,0.93,0.73,0.27,0.28,0.78,0.73,0.66,0.66,0.3,0.85
Heloísa, Miranda, Cameroon, Midfielder,0.88,0.89,0.49,0.66,0.3,0.76,0.48,0.62,0.98,0.71
Santiago, Miranda, Netherlands, Goal Keeper,0.86,0.71,0.17,0.35,0.75,0.63,0.9,0.26,0.02,0.97
Ljiljana, Miranda, Qatar, Forward,0.96,0.51,0.67,0.41,0.66,0.73,0.74,0.84,0.85,0.88
Oleksandr, Mitchell, South Korea, Defender,0.93,0.82,0.26,0.14,0.62,0.55,0.87,0.72,0.74,0.96
Jana, Mohamed, South Korea, Forward,0.63,0.44,0.75,0.44,0.55,0.62,0.54,0.76,0.71,0.79
Nutsa, Mohamed, Ecuador, Midfielder,0.28,0.66,0.77,0.62,0.33,0.56,0.85,0.46,0.69,0.52
Robin, Mohamed, Belgium, Forward,0.42,0.55,0.63,0.82,0.52,0.59,0.46,0.87,0.44,0.51
Estere, Møller, Cameroon, Defender,0.59,0.64,0.4,0.35,0.51,0.34,0.43,0.79,0.48,0.77
Hur, Montanari, Saudi Arabia, Defender,0.22,0.74,0.3,0.49,0.94,0.65,0.46,0.23,0.24,0.6
Vittoria, Monteiro, Tunisia, Defender,0.58,0.52,0.33,0.34,0.93,1.03,0.76,0.74,0.49,0.5
Manaia, Monti, Cameroon, Defender,0.21,0.87,0.42,0.2,0.82,0.49,0.44,0.68,0.34,0.92
Danna, Monti, Canada, Midfielder,0.83,0.54,0.79,0.76,0.63,0.37,0.83,0.86,0.86,0.4
Ajla, Moore, Australia, Midfielder,0.62,0.84,0.39,0.78,0.71,0.41,0.87,0.79,0.66,0.51
Konul, Moore, Germany, Goal Keeper,0.7,0.7,0.39,0.23,0.91,0.86,0.47,0.31,0.08,0.95
Nurislam, Morales, Morocco, Defender,0.38,0.79,0.59,0.01,0.99,0.97,0.53,0.22,0.13,0.83
Carmen, Moreau, Serbia, Forward,0.98,0.59,0.76,0.91,0.6,0.43,0.44,0.93,0.41,0.73
Lilja, Moreau, USA, Defender,0.23,0.7,0.36,0.34,0.76,0.77,0.61,0.44,0.75,0.52
Nela, Moreira, Serbia, Forward,0.6,0.57,0.62,0.47,0.34,0.4,0.78,0.6,0.61,0.6
Haruto, Morel, England, Defender,0.05,0.73,0.57,0.33,0.66,0.65,0.76,0.38,0.57,0.97
Ella, Morelli, Senegal, Defender,0.91,0.79,0.22,0.58,0.79,0.45,0.81,0.5,0.76,0.61
María José, Moreno, Japan, Forward,0.39,0.55,0.86,0.77,0.28,0.79,0.52,0.9,0.94,0.82
Amy, Morgan, Costa Rica, Forward,0.23,0.41,0.54,0.74,0.51,0.72,0.75,0.8,0.63,0.55
Danijel, Morris, England, Goal Keeper,0.34,0.89,0.26,0.32,0.95,0.49,0.59,0.26,0.15,0.96
Iman, Morris, Brazil, Forward,0.9,0.66,0.64,0.98,0.35,0.39,0.97,0.7,0.62,0.41
Nina, Mul, Morocco, Defender,0.18,0.7,0.45,0.29,0.61,1.05,0.73,0.73,0.23,0.5
Katya, Mun, USA, Forward,0.45,0.66,0.65,0.88,0.49,0.38,0.59,0.75,0.61,0.52
Hydar, Munasinghe, Argentina, Midfielder,0.09,0.82,0.52,0.46,0.31,0.44,0.74,0.44,0.63,0.59
Naranbaatar, Muñoz, England, Forward,0.96,0.53,0.81,0.49,0.48,0.52,0.99,0.62,0.88,0.42
João Miguel, Muñoz, Ghana, Forward,0.05,0.43,0.89,0.77,0.38,0.66,0.48,0.53,0.87,0.64
Ahmad, Muoy, Qatar, Defender,0.65,0.62,0.5,0.39,0.56,0.82,0.43,0.71,0.46,0.85
Hussain, Muratović, France, Midfielder,0.02,0.82,0.77,0.35,0.63,0.65,0.53,0.48,0.68,0.44
Moana, Murphy, Netherlands, Defender,0.24,0.65,0.22,0.12,0.79,0.97,0.4,0.35,0.23,0.69
Tatiana, Murphy, Senegal, Forward,0.04,0.4,0.7,0.92,0.59,0.6,0.94,0.49,0.95,0.52
Reza, Nagy, Uruguay, Defender,0.87,0.75,0.13,0.46,0.62,0.35,0.77,0.68,0.28,0.87
Riccardo, Nagy, Canada, Midfielder,0.2,0.72,0.63,0.38,0.76,0.45,0.64,0.55,0.72,0.47
Rosmery, Nava, Saudi Arabia, Forward,0.36,0.62,0.74,0.4,0.35,0.46,0.49,0.93,0.89,0.76
Ivy, Németh, Serbia, Midfielder,0.17,0.61,0.39,0.64,0.68,0.72,0.5,0.92,0.46,0.64
Maddi, Nielsen, Serbia, Defender,0.48,0.68,0.42,0.53,0.65,0.89,0.51,0.46,0.59,0.84
Maja, Nielsen, Croatia, Midfielder,0.1,0.8,0.57,0.58,0.56,0.23,0.7,0.48,0.82,0.43
Mikaere, Nikolla, Denmark, Midfielder,0.31,0.63,0.36,0.56,0.66,0.68,0.54,0.85,0.5,0.46
Adriana, Novak, Croatia, Forward,0.44,0.46,0.66,0.97,0.56,0.75,0.68,0.99,0.33,0.49
Nathan, Núñez, Senegal, Forward,0.65,0.54,0.8,0.94,0.31,0.52,0.61,0.64,0.57,0.72
Dominik, Ny, Belgium, Midfielder,0.05,0.66,0.32,0.55,0.45,0.36,0.98,0.75,0.3,0.42
Okuhle, O, Switzerland, Midfielder,0.48,0.57,0.44,0.53,0.47,0.25,0.86,0.82,0.98,0.74
Viraj, O'Connor, Spain, Midfielder,0.38,0.66,0.39,0.45,0.39,0.51,0.97,0.78,0.69,0.65
Alikhan, O'Connor, Spain, Midfielder,0.99,0.65,0.4,0.4,0.5,0.32,0.5,0.84,0.97,0.53
Lana, O'Doherty, Belgium, Midfielder,0.16,0.61,0.46,0.4,0.38,0.59,0.98,0.59,0.82,0.54
Elenia, O'Doherty, Australia, Forward,0.59,0.54,0.52,0.81,0.57,0.75,0.82,0.65,0.56,0.41
Tamatoa, O'Neill, Portugal, Goal Keeper,0.07,0.67,0.27,0.39,0.78,0.84,0.91,0.29,0.01,0.86
Qillaq, O'Neill, Ecuador, Forward,0.67,0.43,0.56,0.56,0.43,0.36,0.41,0.91,0.47,0.79
Polina, O'Neill, Belgium, Defender,0.09,0.84,0.46,0.18,0.5,0.6,0.57,0.57,0.25,0.53
Imene, O'Quinn, France, Forward,0.77,0.45,0.84,0.98,0.54,0.61,0.65,0.79,0.61,0.87
Demetre, O'Quinn, Japan, Midfielder,0.63,0.82,0.31,0.49,0.34,0.4,0.82,0.99,0.36,0.69
Modibo, O'Reilly, Denmark, Forward,0.13,0.67,0.76,0.48,0.5,0.37,0.42,0.94,0.4,0.54
Siyabonga, O'Ryan, Ghana, Goal Keeper,0.48,0.68,0.14,0.27,0.78,0.66,0.89,0.36,0.12,0.97
Elisa, Oh, Poland, Forward,0.39,0.6,0.75,0.54,0.28,0.51,0.84,0.53,0.4,0.67
Kamilė, Oh, Germany, Midfielder,0.44,0.59,0.41,0.79,0.47,0.59,0.97,0.84,0.55,0.73
Toivo, Ok, Switzerland, Midfielder,0.55,0.69,0.49,0.78,0.3,0.66,0.85,0.76,0.73,0.51
Michal, Oláh, Brazil, Forward,0.68,0.45,0.88,0.96,0.47,0.43,0.42,0.49,0.6,0.41
Lethabo, Om, France, Forward,0.41,0.53,0.62,0.61,0.45,0.72,0.7,0.58,0.69,0.85
Ahmad, Ong, Serbia, Forward,0.7,0.54,0.82,0.59,0.35,0.49,0.94,0.95,0.44,0.61
Maddi, Orlando, Argentina, Defender,0.13,0.82,0.19,0.59,0.65,0.8,0.57,0.57,0.62,0.83
Sem, Ortíz, Morocco, Midfielder,0.45,0.61,0.52,0.49,0.64,0.22,0.62,0.91,0.67,0.88
Tomás, Otero, Portugal, Defender,0.67,0.88,0.12,0.24,0.83,1.08,0.85,0.55,0.54,0.68
Ali Asaf, Pagano, Canada, Defender,0.29,0.79,0.41,0.24,0.64,0.8,0.74,0.46,0.55,0.7
Ginevra, Palmieri, Wales, Midfielder,0.21,0.61,0.47,0.33,0.31,0.7,0.47,0.7,0.68,0.4
Karim, Pang, Germany, Defender,0.33,0.84,0.32,0.45,0.55,0.79,0.56,0.69,0.29,0.87
Shu-chuan, Papp, USA, Forward,0.72,0.63,0.88,0.66,0.66,0.72,0.85,0.51,0.3,0.53
Marwa, Parisi, Cameroon, Forward,0.57,0.67,0.66,0.43,0.68,0.49,0.54,0.76,0.91,0.81
Leonardo, Park, Cameroon, Forward,0.68,0.66,0.81,0.65,0.63,0.74,0.48,0.44,0.83,0.73
Marc, Park, Poland, Midfielder,0.89,0.67,0.37,0.63,0.68,0.51,0.52,0.81,0.52,0.42
Tomás, Pavić, Poland, Defender,0.0,0.5,0.36,0.55,0.77,0.98,0.74,0.25,0.21,0.6
Elias, Pavlović, Australia, Defender,0.14,0.62,0.33,0.52,0.58,0.4,0.52,0.2,0.5,0.69
Anastasia, Pech, Australia, Forward,0.12,0.47,0.62,0.45,0.47,0.63,0.52,0.89,0.75,0.66
Isaac, Pedersen, Poland, Goal Keeper,0.14,0.57,0.31,0.35,0.7,0.71,0.54,0.23,0.1,0.84
Archie, Pedersen, Argentina, Defender,0.21,0.74,0.3,0.07,0.57,1.04,0.39,0.32,0.16,0.6
Alisa, Peiris, Ecuador, Forward,0.66,0.66,0.76,0.53,0.59,0.46,0.96,0.71,0.73,0.72
Ji-a, Pellegrino, Japan, Defender,0.6,0.55,0.56,0.4,0.76,0.42,0.44,0.78,0.3,0.98
Asmita, Peralta, Brazil, Defender,0.35,0.56,0.35,0.34,0.56,0.42,0.84,0.79,0.14,0.94
Aviana, Pereira, Costa Rica, Defender,0.9,0.8,0.54,0.17,0.71,0.34,0.38,0.22,0.24,0.97
Amelija, Pereyra, Uruguay, Midfielder,0.43,0.6,0.49,0.38,0.62,0.62,0.83,0.61,0.76,0.61
Susanna, Pérez, France, Defender,0.54,0.8,0.54,0.11,0.65,0.31,0.86,0.21,0.35,0.88
Pablo, Perić, Costa Rica, Midfielder,0.33,0.89,0.67,0.41,0.69,0.63,0.65,0.41,0.64,0.69
Nojus, Perić, Brazil, Goal Keeper,0.16,0.79,0.12,0.22,0.85,0.72,0.66,0.28,0.0,0.85
Saqib, Përmeti, Wales, Defender,0.38,0.89,0.43,0.07,0.81,0.89,0.82,0.33,0.76,0.59
Matei, Peters, Cameroon, Defender,0.03,0.55,0.27,0.56,0.62,0.67,0.62,0.56,0.25,0.79
Alina, Petersen, Spain, Defender,0.13,0.51,0.26,0.15,0.72,0.75,0.72,0.78,0.65,0.83
Amina, Peterson, Croatia, Forward,0.35,0.45,0.68,0.52,0.68,0.64,0.45,0.72,0.6,0.69
Aysel, Petit, Netherlands, Forward,0.09,0.62,0.78,0.5,0.62,0.3,0.68,0.54,0.62,0.6
Ámbar, Petit, Senegal, Defender,0.67,0.77,0.25,0.12,0.54,0.5,0.43,0.63,0.42,0.71
Nehir, Phillips, Mexico, Midfielder,0.62,0.8,0.66,0.33,0.53,0.6,0.65,0.74,0.34,0.65
Mehmet, Pichler, Belgium, Midfielder,0.23,0.58,0.39,0.56,0.61,0.77,0.79,0.51,0.88,0.65
Margaret, Pinto, Iran, Forward,0.87,0.46,0.75,0.7,0.66,0.51,0.54,0.69,0.76,0.8
Zuzanna, Pinto, Argentina, Goal Keeper,0.09,0.59,0.27,0.39,0.86,0.59,0.72,0.33,0.18,0.95
Raphaël, Pinto, Japan, Midfielder,0.13,0.75,0.77,0.35,0.57,0.51,0.81,0.79,0.81,0.45
Mahammad, Pinto, Australia, Defender,0.12,0.83,0.46,0.17,0.68,0.77,0.83,0.5,0.34,0.77
Agustín, Piotrowski, Portugal, Midfielder,0.32,0.75,0.77,0.73,0.62,0.35,0.89,0.62,0.9,0.71
Titaina, Piotrowski, Netherlands, Forward,0.41,0.56,0.56,0.61,0.26,0.48,0.57,0.4,0.61,0.53
Fátima, Piras, Senegal, Goal Keeper,0.61,0.67,0.39,0.34,0.72,0.53,0.71,0.32,0.01,0.94
Arman, Pires, Spain, Midfielder,0.66,0.72,0.42,0.54,0.57,0.27,0.69,0.96,0.9,0.86
Malachi, Poghosyan, Croatia, Goal Keeper,0.7,0.65,0.57,0.36,0.97,0.93,0.87,0.33,0.19,0.95
Léa, Poghosyan, Japan, Defender,0.08,0.8,0.27,0.18,0.81,0.36,0.82,0.72,0.38,0.61
Alexandru, Popović, Netherlands, Midfielder,0.96,0.68,0.69,0.35,0.73,0.27,0.83,0.56,0.77,0.6
Marko, Popović, Tunisia, Midfielder,0.61,0.66,0.67,0.5,0.49,0.51,0.81,0.45,0.58,0.79
Francesco, Popović, Tunisia, Forward,0.07,0.51,0.57,0.67,0.62,0.54,0.55,0.95,0.3,0.65
Tess, Popović, Japan, Goal Keeper,0.47,0.73,0.19,0.25,0.99,0.43,0.65,0.29,0.17,0.8
Khrystyna, Popović, Canada, Goal Keeper,0.69,0.65,0.53,0.35,0.73,0.66,0.58,0.3,0.08,0.89
Huseyn, Powell, Saudi Arabia, Midfielder,0.47,0.83,0.66,0.31,0.66,0.24,0.7,0.85,0.89,0.88
Mark, Prak, Ecuador, Midfielder,0.23,0.51,0.51,0.71,0.55,0.68,0.62,0.63,0.74,0.52
Tuleen, Price, Costa Rica, Midfielder,0.49,0.58,0.47,0.85,0.51,0.25,0.59,0.82,0.65,0.65
Poema, Prieto, USA, Defender,0.05,0.77,0.46,0.4,0.9,0.89,0.73,0.79,0.12,0.66
Eliška, Prishtina, Wales, Forward,0.42,0.46,0.66,0.66,0.65,0.62,0.74,0.59,0.85,0.78
Pau, Prishtina, Tunisia, Defender,0.17,0.8,0.37,0.14,0.57,0.52,0.41,0.32,0.1,0.65
Markuss, Quinn, Canada, Goal Keeper,0.21,0.83,0.55,0.39,0.87,0.61,0.95,0.38,0.0,0.83
Widelene, Quinn, Mexico, Defender,0.47,0.89,0.42,0.14,0.66,0.36,0.79,0.47,0.78,0.6
Koa, Radić, Uruguay, Goal Keeper,0.6,0.86,0.11,0.24,0.89,0.78,0.8,0.29,0.0,0.98
Nahia, Radić, Senegal, Forward,0.6,0.49,0.6,0.42,0.54,0.46,0.89,0.64,0.82,0.7
Prasert, Radić, Denmark, Forward,0.45,0.65,0.59,0.94,0.29,0.48,0.62,0.4,0.38,0.69
Ronja, Rahman, Cameroon, Forward,0.0,0.51,0.67,0.88,0.47,0.61,0.55,0.61,0.43,0.57
Ye-jun, Ramirez, Japan, Forward,0.76,0.42,0.89,0.79,0.31,0.66,0.43,0.93,0.42,0.71
Dyllan, Ranasinghe, Wales, Forward,0.54,0.55,0.71,0.58,0.23,0.49,0.56,0.54,0.75,0.66
Sevda, Rasmussen, Croatia, Forward,0.29,0.51,0.86,0.57,0.5,0.74,0.47,0.9,0.85,0.78
Aada, Ratnayake, Cameroon, Defender,0.37,0.67,0.31,0.16,0.7,0.45,0.6,0.35,0.74,0.6
Joaquín, Ratnayake, Portugal, Forward,0.57,0.48,0.58,0.54,0.32,0.45,0.46,0.54,0.36,0.43
Ali, Reed, Saudi Arabia, Forward,0.19,0.48,0.58,0.72,0.39,0.77,0.52,0.83,0.39,0.75
Azra, Reed, Argentina, Midfielder,0.01,0.74,0.31,0.82,0.4,0.6,0.84,0.59,0.54,0.88
Moea, Reed, Canada, Defender,0.16,0.52,0.36,0.19,0.55,0.79,0.47,0.37,0.45,0.88
Prasert, Rhee, Australia, Midfielder,0.39,0.62,0.51,0.31,0.36,0.32,0.59,0.59,0.63,0.79
Míngzé, Rhim, Morocco, Midfielder,0.21,0.63,0.59,0.78,0.75,0.52,0.99,0.46,0.94,0.42
Keanu, Rim, Senegal, Midfielder,0.98,0.81,0.31,0.56,0.31,0.79,0.98,0.8,0.49,0.82
Lubanzi, Rim, Germany, Midfielder,0.54,0.73,0.62,0.48,0.49,0.25,0.62,0.8,0.87,0.59
Lucía, Rinaldi, England, Midfielder,0.6,0.86,0.58,0.63,0.37,0.48,0.58,0.58,0.93,0.86
Oihan, Ríos, Netherlands, Midfielder,0.42,0.72,0.35,0.58,0.49,0.6,0.49,0.78,0.53,0.84
Gunay, Riva, USA, Midfielder,0.16,0.64,0.66,0.79,0.65,0.4,0.99,0.55,0.37,0.76
Nehir, Rivas, USA, Midfielder,0.09,0.67,0.35,0.82,0.42,0.48,0.59,0.65,0.35,0.69
Keven, Roberts, USA, Midfielder,0.92,0.62,0.33,0.39,0.61,0.72,0.85,0.55,0.42,0.49
Alfred, Robles, Tunisia, Forward,0.41,0.61,0.88,0.71,0.44,0.77,0.76,0.7,0.78,0.62
Yasmine, Rodrigo, Cameroon, Forward,0.29,0.43,0.5,0.43,0.22,0.76,0.43,0.86,0.77,0.66
Simona, Rodrigues, Morocco, Forward,0.6,0.46,0.8,0.55,0.29,0.69,0.7,0.8,0.71,0.84
Rethabile, Rodriguez, Portugal, Defender,0.54,0.55,0.31,0.17,0.69,0.99,0.8,0.79,0.17,0.73
Rayana, Rodriguez, Costa Rica, Defender,0.88,0.53,0.25,0.59,0.94,0.72,0.81,0.38,0.3,0.84
Baаtar, Rodriguez, Costa Rica, Forward,0.9,0.6,0.82,0.4,0.37,0.44,0.63,0.53,0.47,0.46
Tiare, Rodriguez, Qatar, Forward,0.22,0.68,0.88,0.47,0.25,0.6,0.95,0.91,0.41,0.71
Ayim, Rojas, Argentina, Forward,0.49,0.6,0.74,0.66,0.51,0.4,0.62,0.46,0.41,0.81
Eleni, Rojas, Ghana, Forward,0.67,0.47,0.76,0.93,0.23,0.72,0.51,0.8,0.33,0.78
Fahad, Romano, Cameroon, Midfielder,0.54,0.59,0.54,0.57,0.65,0.25,0.51,0.6,0.37,0.55
Chin-lung, Romano, Mexico, Midfielder,0.29,0.51,0.72,0.76,0.32,0.55,0.99,0.93,0.47,0.85
Esma, Romeo, Denmark, Midfielder,0.37,0.77,0.69,0.88,0.43,0.66,0.84,0.76,0.84,0.47
Viktoria, Rosas, Iran, Midfielder,0.59,0.85,0.59,0.68,0.71,0.37,0.48,0.56,0.59,0.56
Samvel, Rosas, Ecuador, Midfielder,0.84,0.71,0.37,0.89,0.46,0.47,0.54,0.66,0.86,0.42
Valdemar, Ross, France, Defender,0.07,0.53,0.53,0.23,0.85,0.67,0.54,0.54,0.42,0.52
Harun, Rossetti, Tunisia, Midfielder,0.09,0.53,0.51,0.72,0.6,0.24,0.57,0.9,0.64,0.82
Victoria, Rossetti, Spain, Forward,0.07,0.54,0.82,0.42,0.42,0.63,0.69,0.85,0.78,0.77
Rethabile, Rossetti, Denmark, Goal Keeper,0.19,0.7,0.47,0.2,0.99,0.95,0.44,0.38,0.1,0.8
Hina, Rossi, Switzerland, Defender,0.69,0.66,0.41,0.38,0.74,0.93,0.31,0.74,0.47,0.9
Nikola, Rossi, Switzerland, Forward,0.6,0.57,0.88,0.64,0.22,0.38,0.46,0.95,0.43,0.52
Hosniya, Rous, Saudi Arabia, Midfielder,0.64,0.69,0.68,0.65,0.65,0.66,0.98,0.83,0.51,0.73
Yusif, Rous, Poland, Midfielder,0.6,0.69,0.48,0.79,0.64,0.78,0.86,0.52,0.42,0.6
Camila, Rous, Belgium, Defender,0.74,0.87,0.2,0.12,0.62,0.54,0.84,0.51,0.64,0.89
Neža, Roux, Tunisia, Goal Keeper,0.62,0.62,0.22,0.28,0.9,0.34,0.91,0.37,0.07,0.96
Kamilė, Rozman, Morocco, Goal Keeper,0.21,0.7,0.32,0.29,0.72,0.82,0.92,0.2,0.04,0.81
Micaela, Rozman, Uruguay, Defender,0.59,0.72,0.39,0.52,0.91,0.33,0.82,0.45,0.6,0.56
Princess, Rubio, Netherlands, Forward,0.8,0.48,0.64,0.8,0.4,0.52,0.47,0.81,0.98,0.59
Carolina, Ruíz, Japan, Midfielder,0.91,0.8,0.45,0.82,0.74,0.62,0.53,0.47,0.57,0.67
Ji-woo, Ruíz, Ghana, Forward,0.42,0.64,0.74,0.54,0.61,0.69,0.54,0.92,0.92,0.4
Amir-Abbas, Russell, Australia, Midfielder,0.93,0.86,0.79,0.65,0.54,0.29,0.64,0.71,0.56,0.75
Marya, Russell, Germany, Forward,0.69,0.67,0.65,0.65,0.41,0.34,0.73,0.43,0.81,0.56
Mía, Ryang, Poland, Goal Keeper,0.73,0.5,0.53,0.27,0.87,0.54,0.47,0.27,0.02,0.84
Maja, Ryoo, USA, Defender,0.58,0.84,0.46,0.49,0.79,0.65,0.82,0.7,0.27,0.66
Conor, Ryu, Croatia, Defender,0.99,0.54,0.25,0.06,0.99,0.87,0.55,0.48,0.2,0.73
Nora, Sala, Brazil, Forward,0.2,0.48,0.76,0.86,0.32,0.47,0.84,0.94,0.33,0.56
Hussain, Salas, Cameroon, Defender,0.35,0.65,0.5,0.47,0.55,0.51,0.71,0.31,0.41,0.72
Wateen, Salas, Netherlands, Defender,0.78,0.74,0.41,0.32,0.71,0.85,0.43,0.79,0.71,0.76
José, Salazar, Germany, Midfielder,0.27,0.7,0.36,0.59,0.64,0.42,0.85,0.71,0.82,0.43
Konstantinos, Sam, Canada, Midfielder,0.68,0.62,0.73,0.67,0.63,0.24,0.99,0.58,0.37,0.7
Si-woo, Samarasinghe, England, Goal Keeper,0.64,0.86,0.32,0.29,0.77,0.55,0.85,0.29,0.01,0.83
Sherifa, San, Poland, Defender,0.14,0.51,0.38,0.18,0.75,0.31,0.67,0.76,0.46,0.93
Maria Alice, San, Mexico, Midfielder,0.87,0.89,0.56,0.68,0.7,0.36,0.83,0.57,0.5,0.65
Noûr, Sánchez, Senegal, Defender,0.44,0.86,0.28,0.02,0.85,0.7,0.71,0.43,0.71,0.98
Marta, Sang, England, Midfielder,0.5,0.58,0.43,0.52,0.68,0.2,0.6,0.56,0.58,0.61
Basiliki, Sanna, Tunisia, Goal Keeper,0.05,0.82,0.29,0.32,0.73,0.78,0.5,0.29,0.07,0.94
Mihail, Sanz, Qatar, Midfielder,0.37,0.84,0.65,0.8,0.46,0.32,0.88,0.86,0.51,0.51
Julie, Sargsyan, Brazil, Goal Keeper,0.28,0.67,0.16,0.23,0.94,0.8,0.83,0.39,0.0,0.96
Sunita, Sargsyan, Ecuador, Forward,0.28,0.63,0.89,0.4,0.45,0.47,0.87,0.4,0.94,0.5
Sebastian, Sargsyan, Switzerland, Defender,0.63,0.81,0.41,0.09,0.74,0.77,0.51,0.73,0.45,0.73
Reema, Sat, Switzerland, Defender,0.98,0.8,0.38,0.02,0.61,0.47,0.35,0.56,0.77,0.57
Artiom, Schneider, Spain, Forward,0.01,0.55,0.56,0.91,0.29,0.73,0.59,0.76,0.75,0.56
Tess, Schneider, Mexico, Forward,0.2,0.65,0.63,0.68,0.33,0.69,0.52,0.75,0.69,0.48
Matilde, Schulz, Morocco, Forward,0.31,0.48,0.8,0.5,0.57,0.69,0.99,0.55,0.89,0.4
Shu-hua, Schuster, Argentina, Midfielder,0.26,0.87,0.46,0.89,0.43,0.67,0.52,0.94,0.78,0.48
Emil, Schuster, Australia, Goal Keeper,0.67,0.56,0.43,0.25,0.71,0.57,0.94,0.3,0.11,0.82
Kabita, Scott, France, Midfielder,0.78,0.89,0.3,0.52,0.59,0.56,0.97,0.96,0.54,0.87
Máté, Seang, Uruguay, Midfielder,0.08,0.52,0.41,0.49,0.33,0.31,0.91,0.47,0.53,0.44
Kevin, Senanayake, Germany, Forward,0.85,0.56,0.62,0.87,0.54,0.3,0.55,0.9,0.67,0.72
Tarita, Seng, Australia, Defender,0.42,0.73,0.31,0.06,0.75,0.87,0.6,0.57,0.39,0.54
Selim, Seo, Canada, Forward,0.11,0.44,0.79,0.64,0.28,0.62,0.98,0.75,0.45,0.4
Tarita, Seoh, Saudi Arabia, Forward,0.02,0.63,0.6,0.87,0.23,0.54,0.69,0.66,0.97,0.59
Adama, Seoung, England, Forward,0.28,0.58,0.88,0.58,0.45,0.6,0.74,0.97,0.88,0.48
Jóhan, Seoung, Brazil, Defender,0.82,0.68,0.45,0.38,0.65,0.98,0.35,0.68,0.28,0.73
Tatiana, Seoung, Belgium, Defender,0.45,0.81,0.15,0.58,0.86,1.01,0.54,0.68,0.72,0.92
Luciana, Seoung, Denmark, Defender,0.69,0.86,0.28,0.57,0.71,0.69,0.8,0.32,0.46,0.75
Gunel, Sharma, Senegal, Goal Keeper,0.49,0.79,0.14,0.23,0.86,0.32,0.84,0.23,0.01,0.95
Ella, Shehu, Cameroon, Midfielder,0.67,0.88,0.72,0.86,0.54,0.67,0.6,0.45,0.84,0.69
Elsa, Shkodra, South Korea, Defender,0.38,0.54,0.37,0.39,0.79,0.87,0.42,0.53,0.12,0.68
Siya, Shkodra, Uruguay, Defender,0.4,0.87,0.17,0.25,0.91,0.78,0.38,0.57,0.68,0.56
